,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT5A,5-HT6,5-HT7,Adrenergic Alpha1A,Adrenergic Alpha1B,Adrenergic Alpha2A,Adrenergic Alpha2B,Adrenergic Beta1,Adrenergic Beta2,CB1,CB2,Calcium Channel,Cholecystokinin A,Cholecystokinin B,DAT,DOPAMINE D1,DOPAMINE D2,DOPAMINE D2 Long,DOPAMINE D2 Short,DOPAMINE D3,DOPAMINE D4,DOPAMINE D5,DOR,GABA A,GABA B,Glutamate-AMPA,H1,H2,H3,H4,HERG,Imidazoline 1,KOR,M1,M2,M3,M4,M5,MOR,Monoamine Oxidase A,Monoamine Oxidase B,NET,NMDA,PAF Platelet activating factor,Prostaglandin E3,Prostaglandin E4,SERT,Sigma 1,Sigma 2,Sodium Channel,Substance P,TAAR1
25i-nbome,-3.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,0.2218487496163564,-4.8151,-0.6627578316815741,-4.8151,-4.8151,-4.8151,-4.8151,-2.568201724066995,-4.8151,-2.505149978319906,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.7323937598229686,-3.8260748027008264,-2.9542425094393248,-4.8151,-4.8151,-3.322219294733919,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-3.0,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-b,-2.4401216031878037,-2.0187004986662433,-1.4199557484897578,-2.0773679052841563,-4.8151,-1.1573560154410691,-1.130333768495006,-1.7769431981946755,-4.0,-4.0,-2.505014240084107,-2.3211840273023143,-3.915575698540003,-4.8151,-3.7168043788730882,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.8151,-4.190331698170292,-4.041392685158225,-4.136720567156407,-4.8151,-4.8151,-4.0,-4.0,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.079181246047625,-4.0,-4.0,-4.0,-4.8151,-3.333507728917455,-4.0,-4.0,-4.0,-2.9146604305892216,-4.0,-4.0,-4.0,-4.8151,-4.8151,-4.311753861055754,-4.0,-4.8151,-4.8151,-4.8151,-4.041392685158225,-4.0,-4.0,-4.8151,-4.8151,-3.1414497734004674
2c-c,-2.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-1.1139433523068367,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-2.724275869600789,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.113943352306837,-3.322219294733919,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.380211241711606,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.380211241711606,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-d,-2.6434526764861874,-4.8151,-4.8151,-4.8151,-4.8151,-1.510545010206612,-4.8151,-2.1760912590556813,-4.8151,-4.8151,-4.8151,-4.8151,-4.079181246047625,-4.8151,-2.462397997898956,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.380211241711606,-3.8512583487190755,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.491361693834273,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-e,-2.5563025007672873,-4.8151,-4.8151,-4.8151,-4.8151,-1.021189299069938,-4.8151,-2.0,-4.8151,-4.8151,-4.8151,-4.8151,-3.8692317197309762,-4.8151,-2.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.176091259055681,-3.505149978319906,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.518513939877887,-4.8151,-4.8151,-4.8151,-4.8151,-4.4623979978989565,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-i,-2.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,-0.5440680443502757,-4.8151,-1.6020599913279623,-4.8151,-4.8151,-4.8151,-4.8151,-3.7075701760979363,-4.8151,-1.845098040014257,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.113943352306837,-3.4313637641589874,-4.8151,-4.8151,-3.6989700043360187,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-3.785329835010767,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.176091259055681,-4.8151,-4.8151,-4.8151,-4.8151,-3.690196080028514,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-p,-2.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-0.9084850188786497,-4.8151,-1.6020599913279623,-4.8151,-4.8151,-4.8151,-4.8151,-3.5440680443502757,-4.8151,-1.954242509439325,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.6020599913279625,-3.9242792860618816,-3.361727836017593,-4.8151,-4.8151,-3.716003343634799,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3222192947339195,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.2552725051033065,-4.8151,-4.8151,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-2,-2.568201724066995,-4.8151,-4.8151,-4.8151,-4.8151,-0.9542425094393249,-4.8151,-1.8388490907372552,-4.8151,-4.8151,-4.8151,-4.8151,-4.230448921378274,-4.8151,-2.361727836017593,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.176091259055681,-3.7075701760979363,-4.8151,-4.8151,-4.041392685158225,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-4,-2.6720978579357175,-4.8151,-4.8151,-4.8151,-4.8151,-1.4456042032735976,-4.8151,-2.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.041392685158225,-4.8151,-2.255272505103306,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.301029995663981,-4.204119982655925,-4.8151,-4.8151,-4.278753600952829,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.230448921378274,-4.8151,-4.8151,-4.8151,-4.8151,-4.477121254719663,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
2c-t-7,-2.716003343634799,-4.8151,-4.8151,-4.8151,-4.8151,-0.8129133566428556,-4.8151,-1.591064607026499,-4.8151,-4.8151,-4.8151,-4.8151,-4.113943352306837,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.531478917042255,-4.176091259055681,-3.6989700043360187,-4.8151,-4.8151,-3.8750612633917,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.3979400086720375,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151,-4.431363764158987,-4.8151,-4.8151,-4.8151,-4.8151,-4.079181246047625,-4.8151,-4.8151,-4.8151,-4.8151,-4.8151
